2016-10-03,774.25,776.0650019999999,769.5,772.5599980000001,1278800,772.5599980000001
2016-10-04,776.030029,778.710022,772.8900150000001,776.429993,1201400,776.429993
2016-10-05,779.3099980000001,782.070007,775.650024,776.469971,1461200,776.469971
2016-10-06,779.0,780.47998,775.539978,776.8599849999999,1070700,776.8599849999999
2016-10-07,779.659973,779.659973,770.75,775.080017,933200,775.080017
2016-10-10,777.710022,789.380005,775.869995,785.9400019999999,1174900,785.9400019999999
2016-10-11,786.659973,792.280029,780.580017,783.070007,1372500,783.070007
2016-10-12,783.76001,788.130005,782.0599980000001,786.1400150000001,937400,786.1400150000001
2016-10-13,781.219971,781.219971,773.0,778.1900019999999,1365300,778.1900019999999
2016-10-14,781.650024,783.950012,776.0,778.530029,852500,778.530029
2016-10-17,779.799988,785.849976,777.5,779.960022,1093000,779.960022
2016-10-18,787.849976,801.6099849999999,785.5650019999999,795.26001,2056900,795.26001
2016-10-19,798.23999,804.599976,798.030029,801.5,1766800,801.5
2016-10-20,803.299988,803.969971,796.030029,796.969971,1757500,796.969971
2016-10-21,795.0,799.5,794.0,799.369995,1266200,799.369995
2016-10-24,804.900024,815.179993,804.820007,813.1099849999999,1697500,813.1099849999999
2016-10-25,816.679993,816.679993,805.1400150000001,807.669983,1576400,807.669983
2016-10-26,806.340027,806.97998,796.320007,799.070007,1647700,799.070007
2016-10-27,801.0,803.48999,791.5,795.349976,2749200,795.349976
2016-10-28,808.349976,815.48999,793.590027,795.369995,4269900,795.369995
2016-10-31,795.469971,796.8599849999999,784.0,784.539978,2427300,784.539978
2016-11-01,782.8900150000001,789.48999,775.539978,783.6099849999999,2406400,783.6099849999999
2016-11-02,778.200012,781.650024,763.450012,768.700012,1872400,768.700012
2016-11-03,767.25,769.950012,759.030029,762.130005,1943200,762.130005
2016-11-04,750.659973,770.3599849999999,750.560974,762.02002,2134800,762.02002
2016-11-07,774.5,785.1900019999999,772.549988,782.52002,1585100,782.52002
2016-11-08,783.400024,795.632996,780.1900019999999,790.51001,1350800,790.51001
2016-11-09,779.9400019999999,791.22699,771.669983,785.3099980000001,2602700,785.3099980000001
2016-11-10,791.169983,791.169983,752.179993,762.5599980000001,4740100,762.5599980000001
2016-11-11,756.539978,760.780029,750.380005,754.02002,2394000,754.02002
2016-11-14,755.599976,757.849976,727.539978,736.080017,3631700,736.080017
2016-11-15,746.969971,764.416016,746.969971,758.48999,2341200,758.48999
2016-11-16,755.200012,766.3599849999999,750.51001,764.47998,1465200,764.47998
2016-11-17,766.919983,772.700012,764.22998,771.22998,1287000,771.22998
2016-11-18,771.369995,775.0,760.0,760.539978,1526200,760.539978
2016-11-21,762.6099849999999,769.700012,760.599976,769.200012,1323000,769.200012
2016-11-22,772.630005,776.960022,767.0,768.27002,1591800,768.27002
2016-11-23,767.72998,768.28302,755.25,760.98999,1477400,760.98999
2016-11-25,764.26001,765.0,760.52002,761.679993,586000,761.679993
2016-11-28,760.0,779.530029,759.799988,768.23999,2172200,768.23999
2016-11-29,771.530029,778.5,768.23999,770.840027,1604500,770.840027
2016-11-30,770.070007,772.98999,754.830017,758.039978,2365800,758.039978
2016-12-01,757.4400019999999,759.849976,737.025024,747.919983,2996900,747.919983
2016-12-02,744.590027,754.0,743.099976,750.5,1448700,750.5
2016-12-05,757.710022,763.900024,752.900024,762.52002,1382900,762.52002
2016-12-06,764.72998,768.830017,757.340027,759.1099849999999,1632800,759.1099849999999
2016-12-07,761.0,771.3599849999999,755.799988,771.1900019999999,1750800,771.1900019999999
2016-12-08,772.47998,778.179993,767.22998,776.419983,1448200,776.419983
2016-12-09,780.0,789.429993,779.020996,789.289978,1780500,789.289978
2016-12-12,785.039978,791.25,784.35498,789.27002,2097100,789.27002
2016-12-13,793.900024,804.380005,793.340027,796.099976,2119800,796.099976
2016-12-14,797.400024,804.0,794.01001,797.070007,1664500,797.070007
2016-12-15,797.340027,803.0,792.919983,797.849976,1623700,797.849976
2016-12-16,800.400024,800.856018,790.289978,790.799988,2428300,790.799988
2016-12-19,790.219971,797.659973,786.27002,794.200012,1225900,794.200012
2016-12-20,796.76001,798.650024,793.27002,796.419983,925100,796.419983
2016-12-21,795.840027,796.676025,787.099976,794.5599980000001,1208700,794.5599980000001
2016-12-22,792.3599849999999,793.320007,788.580017,791.26001,969100,791.26001
2016-12-23,790.900024,792.73999,787.280029,789.909973,623400,789.909973
2016-12-27,790.679993,797.8599849999999,787.6569820000001,791.549988,789100,791.549988
2016-12-28,793.700012,794.22998,783.200012,785.049988,1132700,785.049988
2016-12-29,783.330017,785.929993,778.919983,782.789978,742200,782.789978
2016-12-30,782.75,782.780029,770.409973,771.820007,1760200,771.820007
2017-01-03,778.8099980000001,789.630005,775.799988,786.1400150000001,1643100,786.1400150000001
2017-01-04,788.3599849999999,791.340027,783.159973,786.900024,1065400,786.900024
2017-01-05,786.080017,794.47998,785.02002,794.02002,1315400,794.02002
2017-01-06,795.26001,807.900024,792.203979,806.150024,1620500,806.150024
2017-01-09,806.400024,809.966003,802.830017,806.650024,1272400,806.650024
2017-01-10,807.8599849999999,809.130005,803.51001,804.789978,1174300,804.789978
2017-01-11,805.0,808.150024,801.369995,807.909973,1057900,807.909973
2017-01-12,807.1400150000001,807.3900150000001,799.169983,806.3599849999999,1351000,806.3599849999999
2017-01-13,807.47998,811.223999,806.6900019999999,807.880005,1090100,807.880005
2017-01-17,807.080017,807.1400150000001,800.369995,804.6099849999999,1355800,804.6099849999999
2017-01-18,805.8099980000001,806.205017,800.98999,806.070007,1293300,806.070007
2017-01-19,805.119995,809.47998,801.799988,802.174988,912000,802.174988
2017-01-20,806.909973,806.909973,801.6900019999999,805.02002,1645000,805.02002
2017-01-23,807.25,820.869995,803.73999,819.3099980000001,1901600,819.3099980000001
2017-01-24,822.299988,825.900024,817.820984,823.869995,1461000,823.869995
