2016-10-03,63.970001,64.650002,63.740002000000004,64.230003,2091100,64.101277
2016-10-04,64.139999,64.690002,64.019997,64.260002,1597500,64.13121600000001
2016-10-05,64.25,65.400002,64.239998,64.480003,2318300,64.350776
2016-10-06,64.239998,64.540001,63.830002,64.370003,1757300,64.240996
2016-10-07,64.66999799999999,65.290001,63.950001,64.279999,1945200,64.151172
2016-10-10,64.68,64.989998,64.08000200000001,64.199997,1823500,64.071331
2016-10-11,64.150002,64.160004,63.540001000000004,63.75,1944600,63.622236
2016-10-12,63.919998,64.949997,63.849998,64.900002,2141500,64.769932
2016-10-13,64.620003,64.83000200000001,64.050003,64.809998,2001800,64.680109
2016-10-14,64.940002,65.139999,64.540001,64.660004,1626700,64.530416
2016-10-17,64.699997,65.050003,64.279999,64.389999,2152200,64.260952
2016-10-18,64.660004,64.900002,63.540001000000004,63.549999,2262700,63.422636
2016-10-19,64.599998,64.599998,63.029999,63.360001000000004,3019000,63.23301800000001
2016-10-20,63.470001,64.0,63.240002000000004,63.41,2042300,63.282917000000005
2016-10-21,63.189999,63.419998,62.77,63.400002,1799900,63.272939
2016-10-24,63.73,63.93,63.139998999999996,63.389998999999996,2108100,63.26295699999999
2016-10-25,63.040001000000004,63.330002,62.560001,63.130001,1758000,63.003479000000006
2016-10-26,63.060001,63.98,63.0,63.5,2040000,63.372737
2016-10-27,63.5,63.619999,62.080002,62.310001,2235800,62.185123
2016-10-28,62.189999,62.549999,61.779999,62.279999,2324700,62.155181000000006
2016-10-31,62.43,62.57,61.900002,62.540001000000004,3182600,62.414662
2016-11-01,62.400002,62.689999,61.82,62.110001000000004,3157900,61.985523
2016-11-02,62.18,62.41,61.830002,62.110001000000004,1842700,61.985523
2016-11-03,62.32,62.389998999999996,61.200001,61.279999,2118300,61.157185
2016-11-04,61.029999,62.139998999999996,61.029999,61.400002,2293800,61.276947
2016-11-07,61.91,62.880001,61.630001,62.59,3191900,62.464560999999996
2016-11-08,62.59,63.689999,62.290001000000004,62.849998,2801700,62.724038
2016-11-09,61.529999,63.0,61.0,62.860001000000004,2880800,62.734019999999994
2016-11-10,63.130001,64.639999,62.93,63.240002000000004,3491200,63.113259
2016-11-11,63.130001,63.900002,62.52,63.639998999999996,3390500,63.51245600000001
2016-11-14,63.73,64.470001,63.57,63.599998,3865000,63.472535
2016-11-15,64.0,64.010002,61.98,63.09,4099800,62.963559
2016-11-16,63.09,64.089996,62.919998,63.860001000000004,3744500,63.732016
2016-11-17,64.110001,65.529999,63.110001000000004,65.529999,4038300,65.398667
2016-11-18,67.720001,68.839996,66.599998,68.0,6999100,67.863718
2016-11-21,68.019997,68.360001,67.559998,67.93,4024500,67.793859
2016-11-22,68.650002,69.809998,68.550003,68.940002,7715400,68.801837
2016-11-23,68.809998,69.739998,68.529999,69.25,2832500,69.111213
2016-11-25,69.550003,69.550003,68.860001,69.040001,1036400,68.901635
2016-11-28,68.790001,69.0,68.290001,68.360001,2693800,68.22299699999999
2016-11-29,68.599998,68.849998,68.209999,68.57,2221300,68.432575
2016-11-30,68.449997,68.720001,67.58000200000001,67.589996,4411600,67.454536
2016-12-01,67.459999,67.949997,67.089996,67.379997,2925100,67.244958
2016-12-02,67.449997,67.879997,67.190002,67.360001,2248700,67.225001
2016-12-05,67.690002,67.91999799999999,66.870003,67.150002,2765700,67.150002
2016-12-06,67.260002,67.5,66.699997,67.260002,2622200,67.260002
2016-12-07,67.379997,68.300003,67.050003,68.260002,2355200,68.260002
2016-12-08,68.129997,68.440002,67.470001,67.699997,2447700,67.699997
2016-12-09,67.779999,67.779999,66.910004,67.620003,2198400,67.620003
2016-12-12,67.449997,67.809998,67.010002,67.389999,1782500,67.389999
2016-12-13,67.690002,68.690002,67.440002,68.269997,2669700,68.269997
2016-12-14,68.400002,68.459999,67.209999,67.440002,2789800,67.440002
2016-12-15,67.68,67.940002,67.07,67.269997,3236900,67.269997
2016-12-16,67.489998,69.529999,67.290001,69.529999,11061800,69.529999
2016-12-19,69.0,69.239998,68.339996,68.410004,4170100,68.410004
2016-12-20,68.519997,69.0,68.139999,68.43,3202800,68.43
2016-12-21,68.449997,68.730003,67.970001,68.0,2105700,68.0
2016-12-22,67.83000200000001,67.959999,66.989998,67.110001,2058500,67.110001
2016-12-23,67.150002,67.58000200000001,67.07,67.110001,1411300,67.110001
2016-12-27,67.260002,67.709999,67.139999,67.150002,1266400,67.150002
2016-12-28,67.279999,67.589996,66.470001,66.519997,1793000,66.519997
2016-12-29,66.489998,67.139999,66.279999,66.370003,1670200,66.370003
2016-12-30,66.690002,66.959999,65.489998,65.599998,2776900,65.599998
2017-01-03,66.019997,66.970001,65.389999,65.610001,3023800,65.610001
2017-01-04,65.660004,66.760002,65.620003,66.550003,2963100,66.550003
2017-01-05,65.720001,66.589996,65.550003,65.690002,2798800,65.690002
2017-01-06,65.790001,65.989998,65.260002,65.309998,2181000,65.309998
2017-01-09,65.269997,65.980003,65.269997,65.449997,2182200,65.449997
2017-01-10,65.309998,67.199997,65.260002,66.769997,3020300,66.769997
2017-01-11,66.790001,67.209999,66.08000200000001,66.550003,1918500,66.550003
2017-01-12,66.349998,66.690002,65.910004,66.589996,1209900,66.589996
2017-01-13,66.510002,67.089996,66.489998,66.93,1418100,66.93
2017-01-17,66.900002,68.360001,66.809998,67.120003,1610400,67.120003
2017-01-18,67.400002,67.400002,66.720001,66.900002,1935500,66.900002
2017-01-19,66.769997,67.0,65.83000200000001,65.959999,1469300,65.959999
2017-01-20,66.279999,66.440002,65.480003,66.0,1704700,66.0
2017-01-23,65.809998,66.07,64.889999,65.110001,2047200,65.110001
2017-01-24,65.190002,66.220001,65.190002,66.110001,1676500,66.110001
2017-01-25,66.339996,66.5,65.709999,65.959999,2194100,65.959999
2017-01-26,66.139999,66.349998,65.519997,65.57,2090500,65.57
2017-01-27,65.82,65.870003,64.940002,65.33000200000001,1967600,65.33000200000001
2017-01-30,65.260002,65.68,64.68,65.389999,1654300,65.389999
2017-01-31,65.150002,66.129997,64.58000200000001,66.110001,1832300,66.110001
